,Name,Last modified,Size,Description,URL
1,GCST90271641.tsv.gz-meta.yaml,2024-01-17 00:07,765,,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90271001-GCST90272000/GCST90271641/GCST90271641.tsv.gz-meta.yaml
2,harmonised/,2024-02-02 15:16,-,,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90271001-GCST90272000/GCST90271641/harmonised/
3,md5sum.txt,2023-07-11 00:06,116,,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90271001-GCST90272000/GCST90271641/md5sum.txt
0,GCST90271641.tsv.gz,2023-07-11 00:06,242M,,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90271001-GCST90272000/GCST90271641/GCST90271641.tsv.gz
