,Name,Last modified,Size,Description,URL
2,md5sum.txt,2020-06-05 00:00,148,,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST010001-GCST011000/GCST010043/md5sum.txt
1,HanY_prePMID_asthma_README.txt,2020-06-05 00:00,1.4K,,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST010001-GCST011000/GCST010043/HanY_prePMID_asthma_README.txt
0,HanY_prePMID_asthma_Meta-analysis_UKBB_TAGC.txt.gz,2020-06-05 00:00,146M,,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST010001-GCST011000/GCST010043/HanY_prePMID_asthma_Meta-analysis_UKBB_TAGC.txt.gz
