,Name,Last modified,Size,Description,URL
1,GCST90018575_buildGRCh37.tsv.gz-meta.yaml,2024-01-04 00:32,939,,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90018001-GCST90019000/GCST90018575/GCST90018575_buildGRCh37.tsv.gz-meta.yaml
2,README.txt,2021-12-16 01:08,177,,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90018001-GCST90019000/GCST90018575/README.txt
3,harmonised/,2024-02-02 15:17,-,,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90018001-GCST90019000/GCST90018575/harmonised/
4,md5sum.txt,2021-12-16 01:08,109,,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90018001-GCST90019000/GCST90018575/md5sum.txt
0,GCST90018575_buildGRCh37.tsv.gz,2021-12-16 01:08,503M,,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90018001-GCST90019000/GCST90018575/GCST90018575_buildGRCh37.tsv.gz
