,Name,Last modified,Size,Description,URL
0,AllCohorts_associationanalysis_summaryStatistics/,2019-04-13 23:16,-,,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST007001-GCST008000/GCST007266/AllCohorts_associationanalysis_summaryStatistics/
2,META_analysis_summaryStatistics/,2019-04-13 23:17,-,,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST007001-GCST008000/GCST007266/META_analysis_summaryStatistics/
5,SAPPHIRE_associationanalysis_summaryStatistics/,2019-04-13 23:17,-,,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST007001-GCST008000/GCST007266/SAPPHIRE_associationanalysis_summaryStatistics/
4,README.txt,2019-04-13 23:12,1.6K,,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST007001-GCST008000/GCST007266/README.txt
3,META_analysis_summaryStatistics_datadictionary.xlsx,2019-04-13 23:12,10K,,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST007001-GCST008000/GCST007266/META_analysis_summaryStatistics_datadictionary.xlsx
6,SAPPHIRE_associationanalysis_summaryStatistics_datadictionary.xlsx,2019-04-13 23:12,21K,,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST007001-GCST008000/GCST007266/SAPPHIRE_associationanalysis_summaryStatistics_datadictionary.xlsx
1,AllCohorts_associationanalysis_summaryStatistics_datadictionary.xlsx,2019-04-13 23:12,25K,,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST007001-GCST008000/GCST007266/AllCohorts_associationanalysis_summaryStatistics_datadictionary.xlsx
