firstAuthor,accessionId,publicationDate,journal,title,reportedTrait,efoTraits,bgTraits,discoverySampleAncestry,replicationSampleAncestry,associationCount,summaryStatistics,ssApiFlag,agreedToCc0,genotypingTechnologies,pubmedId,initialSampleDescription,replicateSampleDescription,UKB_FIELD,FuzzySimilarity_high cholesterol,SearchPhenotype
D??nerta?� HM,GCST90038690,4/8/2021,Nat Aging,Common genetic associations between age-related diseases.,high cholesterol,hypercholesterolemia,-,484598 nr,,0,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90038001-GCST90039000/GCST90038690,no,yes,Genome-wide genotyping array,33959723,"59,853 cases,424,745 controls",,-,100,high cholesterol
Loh PR,GCST90029021,7/1/2018,Nat Genet,Mixed-model association for biobank-scale datasets.,high cholesterol,hypercholesterolemia,-,464736 european,,0,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90029001-GCST90030000/GCST90029021,no,no,Genome-wide genotyping array,29892013,"464,736 European ancestry individuals",,-,100,high cholesterol
Sohail M,GCST90296626,10/11/2023,Nature,Mexican Biobank advances population and medical genomics of diverse ancestries.,high cholesterol,hypercholesterolemia,-,1061 hispanic or latin american,,0,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90296001-GCST90297000/GCST90296626,no,no,Genome-wide genotyping array,37821706,"1,061 Hispanic or Latin American individuals (with >90% Native American ancestry)",,-,100,high cholesterol
Sohail M,GCST90296604,10/11/2023,Nature,Mexican Biobank advances population and medical genomics of diverse ancestries.,high cholesterol,hypercholesterolemia,-,5708 hispanic or latin american,,0,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90296001-GCST90297000/GCST90296604,no,no,Genome-wide genotyping array,37821706,"5,363 Hispanic or Latin American controls",,-,100,high cholesterol
Backman JD,GCST90077883,10/18/2021,Nature,"Exome sequencing and analysis of 454,787 UK Biobank participants. ",high cholesterol,hypercholesterolemia,-,331754 european,,2,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90077001-GCST90078000/GCST90077883,no,yes,"Exome-wide sequencing,Genome-wide genotyping array",34662886,"57,365 European ancestry cases,274,389 European ancestry controls",,-,100,high cholesterol
