firstAuthor,accessionId,publicationDate,journal,title,reportedTrait,efoTraits,bgTraits,discoverySampleAncestry,replicationSampleAncestry,associationCount,summaryStatistics,ssApiFlag,agreedToCc0,genotypingTechnologies,pubmedId,initialSampleDescription,replicateSampleDescription,UKB_FIELD,FuzzySimilarity_gastro oesophageal reflux gord gastric reflux,SearchPhenotype
Backman JD,GCST90077692,10/18/2021,Nature,"Exome sequencing and analysis of 454,787 UK Biobank participants. ",gastro oesophageal reflux or gastric reflux,gastroesophageal reflux disease,-,331754 european,,0,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90077001-GCST90078000/GCST90077692,no,yes,"Exome-wide sequencing,Genome-wide genotyping array",34662886,"21,143 European ancestry cases,310,611 European ancestry controls",,-,91,gastro oesophageal reflux gord gastric reflux
Backman JD,GCST90077693,10/18/2021,Nature,"Exome sequencing and analysis of 454,787 UK Biobank participants. ",icd10 k21: gastro oesophageal reflux or gastric reflux,gastroesophageal reflux disease,-,329051 european,,0,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90077001-GCST90078000/GCST90077693,no,yes,"Exome-wide sequencing,Genome-wide genotyping array",34662886,"18,674 European ancestry cases,310,377 European ancestry controls",,-,86,gastro oesophageal reflux gord gastric reflux
D??nerta?� HM,GCST90038624,4/8/2021,Nat Aging,Common genetic associations between age-related diseases.,gastroesophageal reflux disease or gastric reflux,gastroesophageal reflux disease,-,484598 nr,,0,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90038001-GCST90039000/GCST90038624,no,yes,Genome-wide genotyping array,33959723,"20,381 cases,464,217 controls",,-,81,gastro oesophageal reflux gord gastric reflux
Sakaue S,GCST90018628,9/30/2021,Nat Genet,A cross-population atlas of genetic associations for 220 human phenotypes.,gastroesophageal reflux disease,gastroesophageal reflux disease,-,178464 east asian,,0,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90018001-GCST90019000/GCST90018628,no,yes,Genome-wide genotyping array,34594039,"177,516 East Asian ancestry controls",,-,68,gastro oesophageal reflux gord gastric reflux
Ong JS,GCST90000514,6/29/2021,Gut,"Multitrait genetic association analysis identifies 50 new risk loci for gastro-oesophageal reflux, seven new loci for Barrett's oesophagus and provides insights into clinical heterogeneity in reflux diagnosis.",gastroesophageal reflux disease,gastroesophageal reflux disease,-,602604 european,1590227 NR,37,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90000001-GCST90001000/GCST90000514,yes,yes,Genome-wide genotyping array,34187846,"129,080 European ancestry cases,473,524 European ancestry controls","462,753 cases,1,127,474 controls",-,68,gastro oesophageal reflux gord gastric reflux
Sakaue S,GCST90018848,9/30/2021,Nat Genet,A cross-population atlas of genetic associations for 220 human phenotypes.,gastroesophageal reflux disease,gastroesophageal reflux disease,-,"467253 european,178464 east asian",,2,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90018001-GCST90019000/GCST90018848,no,yes,Genome-wide genotyping array,34594039,"32,957 European ancestry cases,434,296 European ancestry controls, 948 East Asian ancestry cases,177,516 East Asian ancestry controls",,-,68,gastro oesophageal reflux gord gastric reflux
Backman JD,GCST90080188,10/18/2021,Nature,"Exome sequencing and analysis of 454,787 UK Biobank participants. ",icd10 k21: gastro-esophageal reflux disease,gastroesophageal reflux disease,-,376648 european,,0,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90080001-GCST90081000/GCST90080188,no,yes,"Exome-wide sequencing,Genome-wide genotyping array",34662886,"34,552 European ancestry cases,342,096 European ancestry controls",,-,53,gastro oesophageal reflux gord gastric reflux
Walters RG,GCST90246130,7/20/2023,Cell Genom,Genotyping and population characteristics of the China Kadoorie Biobank. ,icd10 k21: gastro-esophageal reflux disease,gastroesophageal reflux disease,-,75899 east asian,,0,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90246001-GCST90247000/GCST90246130,no,yes,Genome-wide genotyping array,37601966,"75,782 Chinese ancestry controls",,-,53,gastro oesophageal reflux gord gastric reflux
