firstAuthor,accessionId,publicationDate,journal,title,reportedTrait,efoTraits,bgTraits,discoverySampleAncestry,replicationSampleAncestry,associationCount,summaryStatistics,ssApiFlag,agreedToCc0,genotypingTechnologies,pubmedId,initialSampleDescription,replicateSampleDescription,UKB_FIELD,FuzzySimilarity_irritable bowel syndrome,SearchPhenotype
Backman JD,GCST90077699,10/18/2021,Nature,"Exome sequencing and analysis of 454,787 UK Biobank participants. ",irritable bowel syndrome,irritable bowel syndrome,-,331754 european,,0,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90077001-GCST90078000/GCST90077699,no,yes,"Exome-wide sequencing,Genome-wide genotyping array",34662886,"11,343 European ancestry cases,320,411 European ancestry controls",,-,100,irritable bowel syndrome
Eijsbouts C,GCST90016564,11/5/2021,Nat Genet,"Genome-wide analysis of 53,400 people with irritable bowel syndrome highlights shared genetic pathways with mood and anxiety disorders. ",irritable bowel syndrome,irritable bowel syndrome,-,486601 european,1589307 European,6,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90016001-GCST90017000/GCST90016564,no,yes,Genome-wide genotyping array,34741163,"53,400 European ancestry cases,433,201 European ancestry controls","205,252 European ancestry cases,1,384,055 European ancestry controls",-,100,irritable bowel syndrome
Bonfiglio F,GCST006304,4/4/2018,Gastroenterology,Female-specific Association Between Variants on Chromosome 9 and Self-reported Diagnosis of Irritable Bowel Syndrome.,irritable bowel syndrome,irritable bowel syndrome,-,346075 european,,15,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST006001-GCST007000/GCST006304,no,-,Genome-wide genotyping array,29626450,"7,130 British ancestry women cases,2,446 British ancestry men cases,178,076 British ancestry women controls,158,423 British ancestry men controls",,-,100,irritable bowel syndrome
D??nerta?� HM,GCST90038626,4/8/2021,Nat Aging,Common genetic associations between age-related diseases.,irritable bowel syndrome,irritable bowel syndrome,-,484598 nr,,0,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90038001-GCST90039000/GCST90038626,no,yes,Genome-wide genotyping array,33959723,"11,168 cases,473,430 controls",,-,100,irritable bowel syndrome
