firstAuthor,accessionId,publicationDate,journal,title,reportedTrait,efoTraits,bgTraits,discoverySampleAncestry,replicationSampleAncestry,associationCount,summaryStatistics,ssApiFlag,agreedToCc0,genotypingTechnologies,pubmedId,initialSampleDescription,replicateSampleDescription,UKB_FIELD,FuzzySimilarity_osteoarthritis,SearchPhenotype
Tachmazidou I,GCST007093,1/21/2019,Nat Genet,Identification of new therapeutic targets for osteoarthritis through genome-wide analyses of UK Biobank data.,osteoarthritis,osteoarthritis,-,455221 european,,35,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST007001-GCST008000/GCST007093,no,-,Genome-wide genotyping array,30664745,"77,052 European ancestry cases,378,169 European ancestry controls",,-,100,osteoarthritis
McDonald MN,GCST90134279,11/21/2022,Nat Genet,Novel genetic loci associated with osteoarthritis in multi-ancestry analyses in the Million Veteran Program and UK Biobank.,osteoarthritis,osteoarthritis,-,293819 european,,61,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90134001-GCST90135000/GCST90134279,no,yes,Genome-wide genotyping array,36411363,"54,039 European ancestry cases,239,780 European ancestry controls",,-,100,osteoarthritis
D??nerta?� HM,GCST90038686,4/8/2021,Nat Aging,Common genetic associations between age-related diseases.,osteoarthritis,osteoarthritis,-,484598 nr,,0,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90038001-GCST90039000/GCST90038686,no,yes,Genome-wide genotyping array,33959723,"39,515 cases,445,083 controls",,-,100,osteoarthritis
McDonald MN,GCST90134283,11/21/2022,Nat Genet,Novel genetic loci associated with osteoarthritis in multi-ancestry analyses in the Million Veteran Program and UK Biobank.,osteoarthritis,osteoarthritis,-,"321359 european, south asian, east asian, african unspecified",,0,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90134001-GCST90135000/GCST90134283,no,yes,Genome-wide genotyping array,36411363,"58,574 European ancestry cases,262,785 European ancestry controls,58,574 South Asian ancestry cases,262,785 South Asian ancestry controls,58,574 East Asian ancestry cases,262,785 East Asian ancestry controls,58,574 African ancestry cases,262,785 African ancestry controls",,-,100,osteoarthritis
McDonald MN,GCST90134290,11/21/2022,Nat Genet,Novel genetic loci associated with osteoarthritis in multi-ancestry analyses in the Million Veteran Program and UK Biobank.,osteoarthritis,osteoarthritis,-,"484374 european, south asian, east asian, african unspecified, hispanic or latin american",,0,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90134001-GCST90135000/GCST90134290,no,yes,Genome-wide genotyping array,36411363,"140,025 European ancestry cases,344,349 European ancestry controls,140,025 South Asian ancestry cases,344,349 South Asian ancestry controls,140,025 East Asian ancestry cases,344,349 East Asian ancestry controls,140,025 African ancestry cases,344,349 African ancestry controls,140,025 Hispanic or Latin American cases,344,349 Hispanic or Latin American controls",,-,100,osteoarthritis
McDonald MN,GCST90134284,11/21/2022,Nat Genet,Novel genetic loci associated with osteoarthritis in multi-ancestry analyses in the Million Veteran Program and UK Biobank.,osteoarthritis,osteoarthritis,-,"484374 european, south asian, east asian, african unspecified, hispanic or latin american",,27,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90134001-GCST90135000/GCST90134284,no,yes,Genome-wide genotyping array,36411363,"140,025 European ancestry cases,344,349 European ancestry controls,140,025 South Asian ancestry cases,344,349 South Asian ancestry controls,140,025 East Asian ancestry cases,344,349 East Asian ancestry controls,140,025 African ancestry cases,344,349 African ancestry controls,140,025 Hispanic or Latin American cases,344,349 Hispanic or Latin American controls",,-,100,osteoarthritis
McDonald MN,GCST90134286,11/21/2022,Nat Genet,Novel genetic loci associated with osteoarthritis in multi-ancestry analyses in the Million Veteran Program and UK Biobank.,osteoarthritis,osteoarthritis,-,"469444 european, south asian, east asian, african unspecified, hispanic or latin american",,60,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90134001-GCST90135000/GCST90134286,no,yes,Genome-wide genotyping array,36411363,"133,506 European ancestry cases,335,938 European ancestry controls,133,506 South Asian ancestry cases,335,938 South Asian ancestry controls,133,506 East Asian ancestry cases,335,938 East Asian ancestry controls,133,506 African ancestry cases,335,938 African ancestry controls,133,506 Hispanic or Latin American cases,335,938 Hispanic or Latin American controls",,-,100,osteoarthritis
McDonald MN,GCST90134287,11/21/2022,Nat Genet,Novel genetic loci associated with osteoarthritis in multi-ancestry analyses in the Million Veteran Program and UK Biobank.,osteoarthritis,osteoarthritis,-,35753 african unspecified,,13,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90134001-GCST90135000/GCST90134287,no,yes,Genome-wide genotyping array,36411363,"17,275 African ancestry cases,18,478 African ancestry controls",,-,100,osteoarthritis
McDonald MN,GCST90134288,11/21/2022,Nat Genet,Novel genetic loci associated with osteoarthritis in multi-ancestry analyses in the Million Veteran Program and UK Biobank.,osteoarthritis,osteoarthritis,-,413170 european,,74,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90134001-GCST90135000/GCST90134288,no,yes,Genome-wide genotyping array,36411363,"109,358 European ancestry cases,303,812 European ancestry controls",,-,100,osteoarthritis
