,Name,Last modified,Size,Description,URL
1,GCST90038616_buildGRCh37.tsv-meta.yaml,2024-01-04 00:33,659,,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90038001-GCST90039000/GCST90038616/GCST90038616_buildGRCh37.tsv-meta.yaml
2,harmonised/,2024-02-02 15:16,-,,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90038001-GCST90039000/GCST90038616/harmonised/
3,md5sum.txt,2021-11-14 00:36,62,,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90038001-GCST90039000/GCST90038616/md5sum.txt
0,GCST90038616_buildGRCh37.tsv,2021-11-14 00:36,1.2G,,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90038001-GCST90039000/GCST90038616/GCST90038616_buildGRCh37.tsv
