,Name,Last modified,Size,Description,URL
1,GCST90131435_buildGRCh38.tsv.gz-meta.yaml,2024-01-04 00:12,755,,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90131001-GCST90132000/GCST90131435/GCST90131435_buildGRCh38.tsv.gz-meta.yaml
2,README.txt,2022-09-06 16:32,2,,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90131001-GCST90132000/GCST90131435/README.txt
3,md5sum.txt,2022-09-06 16:32,109,,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90131001-GCST90132000/GCST90131435/md5sum.txt
0,GCST90131435_buildGRCh38.tsv.gz,2022-09-06 16:32,249M,,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90131001-GCST90132000/GCST90131435/GCST90131435_buildGRCh38.tsv.gz
