,Name,Last modified,Size,Description,URL
1,md5sum.txt,2019-10-26 00:02,187,,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST008001-GCST009000/GCST008916/md5sum.txt
0,ZhuZ_31619474_readme.txt,2019-10-26 00:02,1.3K,,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST008001-GCST009000/GCST008916/ZhuZ_31619474_readme.txt
2,ukb.allasthma.upload.final.assoc.gz,2019-10-26 00:02,154M,,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST008001-GCST009000/GCST008916/ukb.allasthma.upload.final.assoc.gz
