,Name,Last modified,Size,Description,URL
1,GCST90038646_buildGRCh37.tsv-meta.yaml,2024-01-04 00:08,661,,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90038001-GCST90039000/GCST90038646/GCST90038646_buildGRCh37.tsv-meta.yaml
2,harmonised/,2024-02-02 15:16,-,,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90038001-GCST90039000/GCST90038646/harmonised/
3,md5sum.txt,2021-11-14 00:30,62,,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90038001-GCST90039000/GCST90038646/md5sum.txt
0,GCST90038646_buildGRCh37.tsv,2021-11-14 00:30,1.2G,,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90038001-GCST90039000/GCST90038646/GCST90038646_buildGRCh37.tsv
